ofac_id,uk_id,explanation
4688,6935,ofac_id: 4688 has a jaccard distance of 0.0625 with uk_id: 6935 from the name column
4690,6963,ofac_id: 4690 has a jaccard distance of 0.052631578947368474 with uk_id: 6963 from the name column
4694,6988,ofac_id: 4694 has a jaccard distance of 0.10526315789473684 with uk_id: 6988 from the name column
4697,13804,ofac_id: 4697 has a jaccard distance of 0.11111111111111116 with uk_id: 13804 from the name column
4709,7401,ofac_id: 4709 has a jaccard distance of 0.1842105263157895 with uk_id: 7401 from the name column
4710,7399,ofac_id: 4710 has a jaccard distance of 0.08510638297872342 with uk_id: 7399 from the name column
6725,7199,ofac_id: 6725 has a jaccard distance of 0.038461538461538436 with uk_id: 7199 from the name column
6896,7031,ofac_id: 6896 has a jaccard distance of 0.0 with uk_id: 7031 from the name column
6898,7249,ofac_id: 6898 has a jaccard distance of 0.03448275862068961 with uk_id: 7249 from the name column
6900,7205,ofac_id: 6900 has a jaccard distance of 0.0625 with uk_id: 7205 from the name column
6907,6899,ofac_id: 6907 has a jaccard distance of 0.11111111111111116 with uk_id: 6899 from the name column
6911,6972,ofac_id: 6911 has a jaccard distance of 0.03703703703703709 with uk_id: 6972 from the name column
6912,6968,ofac_id: 6912 has a jaccard distance of 0.06666666666666665 with uk_id: 6968 from the name column
6919,7008,ofac_id: 6919 has a jaccard distance of 0.0 with uk_id: 7008 from the name column
6920,7015,ofac_id: 6920 has a jaccard distance of 0.0 with uk_id: 7015 from the name column
6925,6925,ofac_id: 6925 has a jaccard distance of 0.0 with uk_id: 6925 from the name column
6926,7146,ofac_id: 6926 has a jaccard distance of 0.23529411764705888 with uk_id: 7146 from the name column
6928,6994,ofac_id: 6928 has a jaccard distance of 0.15000000000000002 with uk_id: 6994 from the name column
6935,7029,ofac_id: 6935 has a jaccard distance of 0.0625 with uk_id: 7029 from the name column
6936,7212,ofac_id: 6936 has a jaccard distance of 0.040000000000000036 with uk_id: 7212 from the name column
6937,7407,ofac_id: 6937 has a jaccard distance of 0.08333333333333337 with uk_id: 7407 from the name column
6938,6897,ofac_id: 6938 has a jaccard distance of 0.17647058823529416 with uk_id: 6897 from the name column
6945,7099,ofac_id: 6945 has a jaccard distance of 0.0 with uk_id: 7099 from the name column
6950,6932,ofac_id: 6950 has a jaccard distance of 0.0 with uk_id: 6932 from the name column
7006,6995,ofac_id: 7006 has a jaccard distance of 0.0 with uk_id: 6995 from the name column
7133,7082,ofac_id: 7133 has a jaccard distance of 0.1071428571428571 with uk_id: 7082 from the name column
7138,7517,ofac_id: 7138 has a jaccard distance of 0.0 with uk_id: 7517 from the name column
7148,6998,ofac_id: 7148 has a jaccard distance of 0.0 with uk_id: 6998 from the name column
7149,7210,ofac_id: 7149 has a jaccard distance of 0.03125 with uk_id: 7210 from the name column
7199,6991,ofac_id: 7199 has a jaccard distance of 0.03448275862068961 with uk_id: 6991 from the name column
7200,6975,ofac_id: 7200 has a jaccard distance of 0.16000000000000003 with uk_id: 6975 from the name column
7253,7105,ofac_id: 7253 has a jaccard distance of 0.0 with uk_id: 7105 from the name column
7262,7122,ofac_id: 7262 has a jaccard distance of 0.21052631578947367 with uk_id: 7122 from the name column
7264,7059,ofac_id: 7264 has a jaccard distance of 0.0 with uk_id: 7059 from the name column
7266,7124,ofac_id: 7266 has a jaccard distance of 0.0 with uk_id: 7124 from the name column
7267,7131,ofac_id: 7267 has a jaccard distance of 0.0 with uk_id: 7131 from the name column
7268,7148,ofac_id: 7268 has a jaccard distance of 0.13043478260869568 with uk_id: 7148 from the name column
7280,7208,ofac_id: 7280 has a jaccard distance of 0.1875 with uk_id: 7208 from the name column
7321,6961,ofac_id: 7321 has a jaccard distance of 0.033333333333333326 with uk_id: 6961 from the name column
7322,6961,ofac_id: 7322 has a jaccard distance of 0.16129032258064513 with uk_id: 6961 from the name column
7324,7149,ofac_id: 7324 has a jaccard distance of 0.033333333333333326 with uk_id: 7149 from the name column
7328,7156,ofac_id: 7328 has a jaccard distance of 0.0 with uk_id: 7156 from the name column
7472,7021,ofac_id: 7472 has a jaccard distance of 0.0 with uk_id: 7021 from the name column
7473,7138,ofac_id: 7473 has a jaccard distance of 0.1311475409836066 with uk_id: 7138 from the name column
7474,7466,ofac_id: 7474 has a jaccard distance of 0.1842105263157895 with uk_id: 7466 from the name column
7475,7202,ofac_id: 7475 has a jaccard distance of 0.18181818181818177 with uk_id: 7202 from the name column
7638,8531,ofac_id: 7638 has a jaccard distance of 0.08333333333333337 with uk_id: 8531 from the name column
7831,7797,ofac_id: 7831 has a jaccard distance of 0.0 with uk_id: 7797 from the name column
7843,7612,ofac_id: 7843 has a jaccard distance of 0.0 with uk_id: 7612 from the name column
7844,7613,ofac_id: 7844 has a jaccard distance of 0.0 with uk_id: 7613 from the name column
7845,7614,ofac_id: 7845 has a jaccard distance of 0.0 with uk_id: 7614 from the name column
7846,7619,ofac_id: 7846 has a jaccard distance of 0.0 with uk_id: 7619 from the name column
7847,7584,ofac_id: 7847 has a jaccard distance of 0.0 with uk_id: 7584 from the name column
7848,7580,ofac_id: 7848 has a jaccard distance of 0.0 with uk_id: 7580 from the name column
7849,7626,ofac_id: 7849 has a jaccard distance of 0.0 with uk_id: 7626 from the name column
7850,7589,ofac_id: 7850 has a jaccard distance of 0.0 with uk_id: 7589 from the name column
7851,7628,ofac_id: 7851 has a jaccard distance of 0.0 with uk_id: 7628 from the name column
7852,7624,ofac_id: 7852 has a jaccard distance of 0.05714285714285716 with uk_id: 7624 from the name column
7853,7620,ofac_id: 7853 has a jaccard distance of 0.0 with uk_id: 7620 from the name column
7854,7609,ofac_id: 7854 has a jaccard distance of 0.0 with uk_id: 7609 from the name column
7855,7621,ofac_id: 7855 has a jaccard distance of 0.0 with uk_id: 7621 from the name column
7856,7591,ofac_id: 7856 has a jaccard distance of 0.0 with uk_id: 7591 from the name column
7857,7627,ofac_id: 7857 has a jaccard distance of 0.0 with uk_id: 7627 from the name column
7858,7606,ofac_id: 7858 has a jaccard distance of 0.0 with uk_id: 7606 from the name column
7859,7622,ofac_id: 7859 has a jaccard distance of 0.0 with uk_id: 7622 from the name column
7860,7579,ofac_id: 7860 has a jaccard distance of 0.0 with uk_id: 7579 from the name column
7861,7615,ofac_id: 7861 has a jaccard distance of 0.040000000000000036 with uk_id: 7615 from the name column
7862,7582,ofac_id: 7862 has a jaccard distance of 0.0 with uk_id: 7582 from the name column
7863,7623,ofac_id: 7863 has a jaccard distance of 0.0 with uk_id: 7623 from the name column
7864,7624,ofac_id: 7864 has a jaccard distance of 0.0 with uk_id: 7624 from the name column
7865,7607,ofac_id: 7865 has a jaccard distance of 0.0 with uk_id: 7607 from the name column
7866,7617,ofac_id: 7866 has a jaccard distance of 0.0 with uk_id: 7617 from the name column
7867,7603,ofac_id: 7867 has a jaccard distance of 0.0 with uk_id: 7603 from the name column
7868,7625,ofac_id: 7868 has a jaccard distance of 0.0 with uk_id: 7625 from the name column
7869,7596,ofac_id: 7869 has a jaccard distance of 0.12 with uk_id: 7596 from the name column
7870,7578,ofac_id: 7870 has a jaccard distance of 0.0 with uk_id: 7578 from the name column
7871,7576,ofac_id: 7871 has a jaccard distance of 0.15000000000000002 with uk_id: 7576 from the name column
7872,7590,ofac_id: 7872 has a jaccard distance of 0.0 with uk_id: 7590 from the name column
7876,7600,ofac_id: 7876 has a jaccard distance of 0.0 with uk_id: 7600 from the name column
7878,7610,ofac_id: 7878 has a jaccard distance of 0.0 with uk_id: 7610 from the name column
7879,7611,ofac_id: 7879 has a jaccard distance of 0.0 with uk_id: 7611 from the name column
7880,7608,ofac_id: 7880 has a jaccard distance of 0.0 with uk_id: 7608 from the name column
7881,7602,ofac_id: 7881 has a jaccard distance of 0.0 with uk_id: 7602 from the name column
7882,7593,ofac_id: 7882 has a jaccard distance of 0.1875 with uk_id: 7593 from the name column
7883,7594,ofac_id: 7883 has a jaccard distance of 0.0 with uk_id: 7594 from the name column
7884,7587,ofac_id: 7884 has a jaccard distance of 0.0 with uk_id: 7587 from the name column
7885,7574,ofac_id: 7885 has a jaccard distance of 0.0 with uk_id: 7574 from the name column
7886,7599,ofac_id: 7886 has a jaccard distance of 0.0 with uk_id: 7599 from the name column
7887,7604,ofac_id: 7887 has a jaccard distance of 0.0 with uk_id: 7604 from the name column
7888,7585,ofac_id: 7888 has a jaccard distance of 0.0 with uk_id: 7585 from the name column
7889,7605,ofac_id: 7889 has a jaccard distance of 0.0 with uk_id: 7605 from the name column
7890,7583,ofac_id: 7890 has a jaccard distance of 0.0 with uk_id: 7583 from the name column
7891,7616,ofac_id: 7891 has a jaccard distance of 0.2222222222222222 with uk_id: 7616 from the name column
7893,7598,ofac_id: 7893 has a jaccard distance of 0.0 with uk_id: 7598 from the name column
7894,7618,ofac_id: 7894 has a jaccard distance of 0.0 with uk_id: 7618 from the name column
7895,7577,ofac_id: 7895 has a jaccard distance of 0.09523809523809523 with uk_id: 7577 from the name column
7896,7586,ofac_id: 7896 has a jaccard distance of 0.0 with uk_id: 7586 from the name column
7897,7581,ofac_id: 7897 has a jaccard distance of 0.13793103448275867 with uk_id: 7581 from the name column
7913,7886,ofac_id: 7913 has a jaccard distance of 0.0 with uk_id: 7886 from the name column
7914,7887,ofac_id: 7914 has a jaccard distance of 0.0 with uk_id: 7887 from the name column
7921,7842,ofac_id: 7921 has a jaccard distance of 0.0 with uk_id: 7842 from the name column
